address,contract_name,time_taken,true_count,false_count,success
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,8543,0,91,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,57837,0,32,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,60111,0,30,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,62169,0,6,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,64649,0,3,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,7918,0,91,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,51180,0,32,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,54956,0,30,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,58196,0,6,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,61892,0,3,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,13270,0,91,false
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,14362,3,88,true
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,75975,6,18,true
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,86809,7,10,true
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,EXODUS2,98185,7,1,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,22508,1,396,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,688707,1,9117,false
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,698176,1,4405,false
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,708051,1,349,false
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,719736,1,342,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,731536,1,336,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,743198,1,332,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,754764,1,328,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,766252,1,324,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,777535,1,320,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,789194,1,318,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,801214,1,316,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,814704,1,314,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,832551,1,312,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,853295,1,310,true
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,DotComSeance,883867,1,308,true
