address,contract_name,time_taken,true_count,false_count,success
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,TokenMintERC20Token,11980,34,313,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,6434,19,99,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,7666,21,133,true
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,7058,20,152,true
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,7425,23,185,true
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,166755,151,2422,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,304028,225,3420,true
0xe09fb60e8d6e7e1cebbe821bd5c3fc67a40f86bf,PikachuToken,7688,21,163,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,7264,19,137,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,276195,161,3206,true
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,7285,21,157,true
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,283650,168,3378,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,7163,20,136,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,19044,20,3298,false
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,7231,11,83,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,7063,9,54,true
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,7536,16,107,true
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,8024,20,122,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,8723,23,154,true
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,8809,19,133,true
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,TokenMintERC20Token,13741,35,335,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,16048,27,62,true
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,17739,29,94,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,7674,21,147,true
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,7679,21,146,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,89387,165,1408,true
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,8176,23,181,true
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,284795,168,3378,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,290876,163,3322,true
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,6995,19,131,true
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,TokenMintERC20Token,11159,35,325,true
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,292307,215,3342,true
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,7071,21,163,true
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,350968,266,3996,true
0xe09fb60e8d6e7e1cebbe821bd5c3fc67a40f86bf,PikachuToken,6478,17,130,true
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,364198,135,3906,true
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,191406,187,2638,true
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,6004,16,101,true
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,TokenMintERC20Token,10788,34,311,true
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,191453,179,2650,true
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,6331,16,109,true
0xe09fb60e8d6e7e1cebbe821bd5c3fc67a40f86bf,PikachuToken,407580,387,4014,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,8398,19,137,true
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,375946,426,3870,true
0xe09fb60e8d6e7e1cebbe821bd5c3fc67a40f86bf,PikachuToken,6511,17,121,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,180779,217,2424,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,5747,18,94,true
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,699500,344,5952,true
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,7131,19,130,true
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,1241342,661,7220,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,6534,19,109,true
0xe09fb60e8d6e7e1cebbe821bd5c3fc67a40f86bf,PikachuToken,416493,387,4014,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,356510,612,3464,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,9194,15,110,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,9651,19,137,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,183387,217,2424,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,7007,19,128,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,317794,225,3420,true
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,8161,19,133,true
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,175430,217,2424,true
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,6887,19,133,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,500700,515,4432,true
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,9130,23,185,true
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,6051,20,116,true
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,172571,151,2422,true
0xe09fb60e8d6e7e1cebbe821bd5c3fc67a40f86bf,PikachuToken,7236,21,163,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,7043,17,118,true
0xe09fb60e8d6e7e1cebbe821bd5c3fc67a40f86bf,PikachuToken,190444,153,2584,true
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,995587,589,6472,true
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,7011,19,133,true
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,TokenMintERC20Token,10974,34,311,true
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,407163,208,4266,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,5844,17,88,true
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,6935,19,130,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,366010,287,3440,true
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,TokenMintERC20Token,12938,34,311,true
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,1027236,589,6472,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,6624,15,109,true
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,1285823,661,7220,true
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,1012200,769,5798,true
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,636414,691,4550,true
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,1109073,589,6472,true
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,1324105,661,7220,true
