address,contract_name,time_taken,true_count,false_count,success
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,6707,25,207,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,57205,35,65,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,61345,35,46,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,64777,35,12,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,67839,35,4,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,3982,98,93,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,97714,245,1569,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,107586,245,161,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,113622,245,38,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,119696,245,26,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,126785,245,20,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,136802,245,16,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,155263,245,12,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,193991,245,8,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,274611,245,6,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,460954,245,4,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,828106,245,2,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,4977,59,84,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,62770,66,23,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,65461,66,12,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,67950,66,4,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,70397,66,2,true
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,79175,627,160,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,260037,1611,627,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,493497,1613,530,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,718371,1617,16,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,870150,1609,8,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,970668,1608,2,false
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,5625,20,184,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,85106,75,1223,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,100827,84,291,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,106262,85,40,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,111993,85,26,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,118481,85,12,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,125588,85,4,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,131180,85,0,true
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,4102,10,82,true
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,45077,17,17,true
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,48099,17,13,true
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,50803,17,2,true
0x9ab8432a7794566c27f051c087adedbf64337eea,GrandTheftArlen,7529,340,40,false
0x9ab8432a7794566c27f051c087adedbf64337eea,GrandTheftArlen,55386,349,0,false
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,5290,20,160,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,74011,71,955,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,85568,71,231,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,91518,71,70,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,98597,71,52,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,107696,71,38,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,123452,71,28,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,155192,71,22,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,236454,71,16,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,437585,71,12,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,988965,71,6,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,13226,20,192,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,92629,69,764,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,104060,69,223,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,109440,69,44,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,114897,69,34,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,121673,69,24,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,131845,69,16,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,148848,69,8,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,171328,69,2,true
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,4321,10,71,true
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,45286,17,23,true
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,48395,17,18,true
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,51182,17,4,true
