address,contract_name,time_taken,true_count,false_count,success
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,6793,29,259,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,362277,531,14,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,45225,44,1223,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,52577,53,191,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,58446,89,54,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,65563,105,35,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,74913,119,18,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,86903,127,7,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,101825,130,2,true
0x0043625392a133a0df4c9cfbd7b8f9ae973c101c,ArtEdu,8309,23,165,true
0x0043625392a133a0df4c9cfbd7b8f9ae973c101c,ArtEdu,31611,41,587,true
0x0043625392a133a0df4c9cfbd7b8f9ae973c101c,ArtEdu,39808,42,146,true
0x0043625392a133a0df4c9cfbd7b8f9ae973c101c,ArtEdu,45495,51,26,true
0x0043625392a133a0df4c9cfbd7b8f9ae973c101c,ArtEdu,51592,60,16,true
0x0043625392a133a0df4c9cfbd7b8f9ae973c101c,ArtEdu,58697,69,6,true
0x0043625392a133a0df4c9cfbd7b8f9ae973c101c,ArtEdu,66611,73,1,true
0x00521c351e842f7c4c92c2949eaaf33dbf08e49a,LumaParty,3889,7,51,true
0x00521c351e842f7c4c92c2949eaaf33dbf08e49a,LumaParty,7015,7,36,false
0x0182c2f88461990fa276c47e8c199980d4cc2985,TheDoge,4105,10,66,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,571590,533,11,true
0x02fdeea649d0291a987438fdaab5a71ed623471f,ArtDeco,5208,120,159,true
0x02fdeea649d0291a987438fdaab5a71ed623471f,ArtDeco,8692,120,766,false
0x0445174b6fa65df016ac975967148d257598ee9f,wahwah,4512,120,129,true
0x0445174b6fa65df016ac975967148d257598ee9f,wahwah,21139,135,567,true
0x0445174b6fa65df016ac975967148d257598ee9f,wahwah,32482,141,362,true
0x0445174b6fa65df016ac975967148d257598ee9f,wahwah,36588,162,29,true
0x0445174b6fa65df016ac975967148d257598ee9f,wahwah,41239,175,14,true
0x0445174b6fa65df016ac975967148d257598ee9f,wahwah,46413,184,3,true
0x0445174b6fa65df016ac975967148d257598ee9f,wahwah,51853,186,0,true
0x04db919876162e249801c6c70f2beabb775bd5ea,CLOWN,5509,102,217,true
0x04db919876162e249801c6c70f2beabb775bd5ea,CLOWN,9515,102,1567,false
0x04f33d09aae7923fcd82590b1d8fef0ce41936e1,BasedPepe,5531,120,182,true
0x04f33d09aae7923fcd82590b1d8fef0ce41936e1,BasedPepe,9139,120,960,false
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,5362,20,169,true
0x063139aa26c2b913177fb97f1952d266b30779e7,PubgCoin,4288,92,127,true
0x063139aa26c2b913177fb97f1952d266b30779e7,PubgCoin,21815,107,613,true
0x063139aa26c2b913177fb97f1952d266b30779e7,PubgCoin,33720,113,402,true
0x063139aa26c2b913177fb97f1952d266b30779e7,PubgCoin,37298,131,17,true
0x063139aa26c2b913177fb97f1952d266b30779e7,PubgCoin,41102,140,6,true
0x063139aa26c2b913177fb97f1952d266b30779e7,PubgCoin,45034,143,1,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,5996,20,202,true
0x08861e1b46d6a3d8a406a244a0d7f57a54191a26,DoKwon,3572,7,46,true
0x08861e1b46d6a3d8a406a244a0d7f57a54191a26,DoKwon,8507,7,24,true
0x08861e1b46d6a3d8a406a244a0d7f57a54191a26,DoKwon,11107,7,12,true
0x08861e1b46d6a3d8a406a244a0d7f57a54191a26,DoKwon,13804,9,8,true
0x08861e1b46d6a3d8a406a244a0d7f57a54191a26,DoKwon,16724,11,5,true
0x08861e1b46d6a3d8a406a244a0d7f57a54191a26,DoKwon,19971,13,2,true
0x08861e1b46d6a3d8a406a244a0d7f57a54191a26,DoKwon,23214,13,1,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,6064,37,245,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,53761,68,1424,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,70170,69,530,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,75283,85,54,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,81796,100,37,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,90168,117,18,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,101469,124,9,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,116467,128,3,true
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,135221,129,1,true
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,5128,120,166,true
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,30533,137,846,true
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,49377,144,583,true
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,53488,166,21,true
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,58129,175,10,true
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,63240,177,6,true
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,68883,178,3,true
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,74510,179,0,true
0x0ca8f57032045a11b58f795c41c72701be0ca14f,TokenMintERC20Token,5899,20,202,true
0x0db106fd8debf29c3bacf11b70c9a6656dc265b7,TokenMintERC20Token,4836,15,150,true
0x0db106fd8debf29c3bacf11b70c9a6656dc265b7,TokenMintERC20Token,8823,15,758,false
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,9067,23,268,true
0x0f5ca5f735ba1a40d67c6325c6f276a732f11baf,TokenMintERC20Token,4012,10,66,true
0x10245515d35bc525e3c0977412322bff32382ef1,TokenMintERC20Token,5547,20,183,true
0x109898c0e492db6286feec58ee2dde6ae50ad8b8,ProofOfRyoshiRelaunch,4087,10,66,true
0x123e58a9c6978d855cfe8bd14cf6994880fa9d3d,Baller,5533,120,190,true
0x123e58a9c6978d855cfe8bd14cf6994880fa9d3d,Baller,9233,120,1170,false
0x141d747c237de7bcce3f2ea776e280235e1e06e0,TokenMintERC20Token,4928,14,153,true
0x146bba6bb90bfda8e8be72fe390da15a738db16e,TokenMintERC20Token,3712,10,49,true
0x146bba6bb90bfda8e8be72fe390da15a738db16e,TokenMintERC20Token,8570,10,12,true
0x146bba6bb90bfda8e8be72fe390da15a738db16e,TokenMintERC20Token,11126,10,6,true
0x146bba6bb90bfda8e8be72fe390da15a738db16e,TokenMintERC20Token,13794,10,4,true
0x146bba6bb90bfda8e8be72fe390da15a738db16e,TokenMintERC20Token,16403,10,3,true
0x146bba6bb90bfda8e8be72fe390da15a738db16e,TokenMintERC20Token,19192,10,2,true
0x146bba6bb90bfda8e8be72fe390da15a738db16e,TokenMintERC20Token,21980,10,1,true
0x156669a2dd7ada47e461b843c2bb74180f38449e,TokenMintERC20Token,3763,10,50,true
0x156669a2dd7ada47e461b843c2bb74180f38449e,TokenMintERC20Token,8504,10,7,true
0x156669a2dd7ada47e461b843c2bb74180f38449e,TokenMintERC20Token,11076,10,6,true
0x156669a2dd7ada47e461b843c2bb74180f38449e,TokenMintERC20Token,13744,10,5,true
0x156669a2dd7ada47e461b843c2bb74180f38449e,TokenMintERC20Token,16475,10,4,true
