address,contract_name,time_taken,true_count,false_count,success
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,8906,25,266,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,140183,81,1928,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,225280,83,944,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,236969,83,112,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,249843,83,70,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,264529,83,28,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,278961,83,16,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,297623,83,10,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,334251,83,8,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,419519,83,6,true
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,629298,83,4,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,12689,25,207,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,103822,29,50,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,115853,29,33,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,121332,29,10,true
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,126028,29,2,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,15898,98,93,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,125310,109,46,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,128368,109,14,true
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,131076,109,2,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,4326,59,84,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,50984,66,23,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,53760,66,12,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,56327,66,4,true
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,58867,66,2,true
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,67362,622,165,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,252882,1682,629,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,388563,1643,63,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,472065,1646,16,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,573242,1648,8,false
0x9682e720ddf3b8c667966a72bb62649c58a53d5e,DOGHOUSE,665876,1642,2,false
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,5986,20,184,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,60817,58,584,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,71078,58,198,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,75828,58,36,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,80862,58,24,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,86685,58,12,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,93341,58,4,true
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,98600,58,0,true
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,4113,10,82,true
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,44196,17,17,true
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,47153,17,13,true
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,49830,17,2,true
0x9ab8432a7794566c27f051c087adedbf64337eea,GrandTheftArlen,8480,340,40,false
0x9ab8432a7794566c27f051c087adedbf64337eea,GrandTheftArlen,52749,340,40,false
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,5290,20,160,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,51911,41,302,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,58180,41,112,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,62455,41,34,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,66863,41,20,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,71421,41,10,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,76818,41,4,true
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,81423,41,2,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,5603,20,192,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,65071,69,764,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,76445,69,223,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,81816,69,44,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,87306,69,34,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,94020,69,24,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,104207,69,16,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,121513,69,8,true
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,143774,69,2,true
0xac5bf342763248702f4fbd6dc068381a609543a2,Kokainutoken,5123,100,175,true
0xac5bf342763248702f4fbd6dc068381a609543a2,Kokainutoken,51748,132,320,true
0xac5bf342763248702f4fbd6dc068381a609543a2,Kokainutoken,57703,132,103,true
0xac5bf342763248702f4fbd6dc068381a609543a2,Kokainutoken,61262,132,14,true
0xac5bf342763248702f4fbd6dc068381a609543a2,Kokainutoken,64701,132,6,true
0xac5bf342763248702f4fbd6dc068381a609543a2,Kokainutoken,67760,132,0,true
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,3997,10,71,true
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,43608,11,8,true
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,46149,11,5,true
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,48606,11,2,true
0x8be6c97a8fd3b2c450d7124fcdbe2c595e3cff5c,TokenMintERC20Token,5136,18,153,true
