address,contract_name,time_taken,true_count,false_count,success
0x0eff3e0d75872c44b1c70fee12fdfb88430059f4,XDCToken,3882,82,85,true
0x0eff3e0d75872c44b1c70fee12fdfb88430059f4,XDCToken,7769,168,115,true
0x0eff3e0d75872c44b1c70fee12fdfb88430059f4,XDCToken,11683,168,117,true
0x0eff3e0d75872c44b1c70fee12fdfb88430059f4,XDCToken,15569,168,117,true
0x0eff3e0d75872c44b1c70fee12fdfb88430059f4,XDCToken,18889,247,38,true
0x0eff3e0d75872c44b1c70fee12fdfb88430059f4,XDCToken,22270,251,40,true
0x1378ec93ab2b07ba5a0eaef19cf354a33f64b9fd,YearnFinanceDiamondToken,3283,80,95,true
0x1378ec93ab2b07ba5a0eaef19cf354a33f64b9fd,YearnFinanceDiamondToken,7353,165,128,true
0x1378ec93ab2b07ba5a0eaef19cf354a33f64b9fd,YearnFinanceDiamondToken,11697,165,128,true
0x1378ec93ab2b07ba5a0eaef19cf354a33f64b9fd,YearnFinanceDiamondToken,15740,165,128,true
0x1378ec93ab2b07ba5a0eaef19cf354a33f64b9fd,YearnFinanceDiamondToken,19713,165,128,true
0x1378ec93ab2b07ba5a0eaef19cf354a33f64b9fd,YearnFinanceDiamondToken,23716,165,128,true
0x1a743db7452d8b4d5621e59dd604ed7cba8d7ee8,ZebiToken,39419,281,1418,true
0x1a743db7452d8b4d5621e59dd604ed7cba8d7ee8,ZebiToken,94943,683,1591,true
0x1a743db7452d8b4d5621e59dd604ed7cba8d7ee8,ZebiToken,164960,701,1613,true
0x1a743db7452d8b4d5621e59dd604ed7cba8d7ee8,ZebiToken,246097,1150,1398,true
0x1a743db7452d8b4d5621e59dd604ed7cba8d7ee8,ZebiToken,326800,1172,1376,true
0x1a743db7452d8b4d5621e59dd604ed7cba8d7ee8,ZebiToken,422362,1658,1176,true
0x2fca882ef15886ede1bd8067de70f1407d04f1f7,ZPayToken,4612,32,85,true
0x2fca882ef15886ede1bd8067de70f1407d04f1f7,ZPayToken,9600,52,98,true
0x2fca882ef15886ede1bd8067de70f1407d04f1f7,ZPayToken,14592,52,98,true
0x2fca882ef15886ede1bd8067de70f1407d04f1f7,ZPayToken,19597,52,98,true
0x2fca882ef15886ede1bd8067de70f1407d04f1f7,ZPayToken,24477,52,98,true
