address,contract_name,time_taken,true_count,false_count,success
0x5b7e386b636abff1e83fc7101c33282acba8e1a5,ZUCToken,4.213,9,20,True
0x31ed5285e8fe7eddf73c2685629dc92a21b81f97,ZixiToken,10.778,57,380,True
0xf0814d0e47f2390a8082c4a1bd819fdde50f9bfc,XPToken,4.969,32,69,True
0xee573a945b01b788b9287ce062a0cfc15be9fd86,XEDToken,17.644,50,268,True
0x358305d85389618c9b72f439c4879e4f8096cbd8,YearnStableBankingToken,5.467,27,238,True
0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,YearnFinanceProtocolToken,5.956,27,276,True
0x61d45f5475d90af0c3b3f3673beb18b43284dce7,YCCToken,4.132,17,140,True
0x3edef2b0c0a996b302c472d117396f31fde79c08,ZevenCoinToken,16.555,21,55,True
0x52f4ec19369763fae1020d1730d6f41d78598ef9,ZiNiuToken,7.862,20,54,True
0xaf20b44c1c651d1d29cfb916ee2a0630b828eb7a,YYFIToken,5.406,27,238,True
0xe0b9bcd54bf8a730ea5d3f1ffce0885e911a502c,ZumToken,18.486,37,703,True
0xcd08a9dea82a5a25243525abe5ba39fa35426bf9,YouToken,4.746,33,226,True
0x1a743db7452d8b4d5621e59dd604ed7cba8d7ee8,ZebiToken,38.898,127,1523,True
0x5933d83facd564711acc6c70375b490035326f09,XDToken,3.907,20,125,True
0xd4ac90e33ac839c29a3d98c807eeef0c4508bee8,YCCToken,3.937,17,124,True
0x0eff3e0d75872c44b1c70fee12fdfb88430059f4,XDCToken,4.014,22,129,True
0x1378ec93ab2b07ba5a0eaef19cf354a33f64b9fd,YearnFinanceDiamondToken,4.226,17,143,True
0x95b48b85266675e82be44a426083b392d4786696,YearnFinanceDiamondTokentTwo,4.407,17,158,True
0x5bc901cbebefb03a56d45e57e4f356dc4db30ab5,XSToken,9.895,19,57,True
0xa11af803ac1f7b6638f734a4d001c392c48b162a,ZevsToken,7.686,41,345,True
0xab5e1ed250d5c8c1afbbca8c079284efe8a37a9c,YfidFinanceToken,5.539,27,239,True
0x2fca882ef15886ede1bd8067de70f1407d04f1f7,ZPayToken,5.703,19,85,True
0xda58fb36cdb37a0de8bb9cb6c78b8715dcd0d1e8,XSRToken,8.231,18,54,True
0xcb9a14d68cd0690b3696f42dcfdf609a67824736,XinTimeToken,11.26,40,310,True
0x4b34c0cbeef271f895d339c5f76322d71a60782b,YearnFinanceManagementToken,4.128,17,137,True
0x59e7b5db9be0bdd26fa048d39e01fee456ab674e,YearnFinanceBitToken2,4.176,17,137,True
0xe6c011797e50015999d8b2ed41e47b2ae885b5ff,XSRToken,12.492,24,95,True
0xd7efb00d12c2c13131fd319336fdf952525da2af,XPRToken,4.522,12,38,True
